,,,,,,,,
, PT Dojo Daily Planner ,,,,,,,
,(Accel: 25-35 hours/wk  |  Flex: 15-20 hours/wk),,,,,,,
,[Write Your Name Here] ,,,,,,,
,,Sun,Mon,Tues,Wed,Thurs,Fri,Sat
,6:00 AM,,,,,,,
,7:00,,,,,,,
,8:00 AM,,,,,,,
,9:00,,Get up,Get up,Get up,Get up,Get up,
,10:00 AM,,Gym,,Gym,,Gym,
,11:00,,,Gym,,Gym,,
,12:00 PM,,coding dojo,,coding dojo,,coding dojo,
,13:00,,,,,,,
,2:00 PM,,,coding dojo,,coding dojo,,
,15:00,,,,,,,
,4:00 PM,,,office hours,office hours,office hours,,
,17:00,,,lecture,lecture,lecture,,
,6:00 PM,,,,,,,
,19:00,,,,,,,
,8:00 PM,,,,,,,
,21:00,,,,,,,
,10:00 PM,,sleep,sleep,sleep,sleep,sleep,
,23:00,,,,,,,